year,quarter,gdp_growth_yoy_pct,night_light_mean,night_light_median,night_light_max,causeway_bay,central,central_western,kwai_chung,kwun_tong,mong_kok,north,sham_shui_po,shatin,southern,tai_po,tap_mun,tseung_kwan_o,tsuen_wan,tuen_mun,tung_chung,yuen_long,air_cargo_thousand_teu,air_cargo_yoy_pct
2023,Q3,4.1,9.932092,0.88128227,634.31586,191.0,140.33333333333334,33.333333333333336,87.33333333333333,61.666666666666664,136.66666666666666,35.333333333333336,58.333333333333336,34.0,33.333333333333336,32.333333333333336,13.333333333333334,31.333333333333332,54.333333333333336,43.0,31.333333333333332,49.333333333333336,4298.0,3.1
2023,Q4,4.3,10.269595,0.83919793,286.57477,184.0,135.66666666666666,43.333333333333336,75.0,59.333333333333336,118.0,47.666666666666664,60.333333333333336,36.0,36.0,39.333333333333336,16.0,28.0,51.333333333333336,64.66666666666667,43.0,60.666666666666664,4298.0,3.1
2024,Q1,2.9,9.806823,0.743969,305.73364,192.0,138.66666666666666,50.333333333333336,73.66666666666667,60.666666666666664,122.66666666666667,39.666666666666664,67.0,32.0,38.333333333333336,35.333333333333336,12.666666666666666,29.333333333333332,62.666666666666664,63.0,49.666666666666664,54.0,4900.0,14.0
2024,Q2,3.0,8.936001,0.79986745,306.89264,163.33333333333334,124.66666666666667,34.333333333333336,78.33333333333333,61.0,130.0,31.0,57.0,25.333333333333332,29.666666666666668,30.333333333333332,7.333333333333333,27.666666666666668,55.0,46.666666666666664,29.666666666666668,41.666666666666664,4900.0,14.0
2024,Q3,2.1,9.824285,0.8328814,302.1489,204.66666666666666,146.33333333333334,36.0,87.0,66.33333333333333,139.66666666666666,35.666666666666664,61.333333333333336,35.666666666666664,31.333333333333332,34.666666666666664,7.666666666666667,33.333333333333336,54.333333333333336,42.666666666666664,33.0,46.666666666666664,4900.0,14.0
2024,Q4,2.5,10.177943,0.8409848,277.03464,192.0,152.0,42.0,64.66666666666667,56.666666666666664,138.33333333333334,47.333333333333336,57.333333333333336,34.333333333333336,33.333333333333336,42.0,11.666666666666666,23.666666666666668,48.666666666666664,61.0,49.0,51.0,4900.0,14.0
2025,Q1,3.1,10.1088,0.7634538,320.82202,199.66666666666666,149.66666666666666,53.333333333333336,79.66666666666667,66.0,125.0,46.333333333333336,68.33333333333333,38.333333333333336,38.333333333333336,39.666666666666664,13.0,28.666666666666668,67.66666666666667,72.33333333333333,50.333333333333336,56.666666666666664,5038.0,2.8
2025,Q2,3.2,9.39073,0.81776875,455.71735,177.66666666666666,123.0,33.666666666666664,73.0,62.0,129.33333333333334,35.333333333333336,55.666666666666664,31.0,30.0,33.333333333333336,7.666666666666667,28.666666666666668,53.333333333333336,46.0,28.0,44.0,5038.0,2.8
2025,Q3,3.7,9.917775,0.8001547,305.639,181.33333333333334,132.0,30.0,76.66666666666667,62.666666666666664,137.33333333333334,39.333333333333336,55.666666666666664,34.666666666666664,26.333333333333332,31.0,11.0,28.0,47.0,42.0,28.666666666666668,46.666666666666664,5038.0,2.8
2025,Q4,3.8,10.391837,0.8050763,393.78464,188.33333333333334,165.0,42.333333333333336,68.0,59.0,121.33333333333333,50.333333333333336,56.333333333333336,40.0,29.666666666666668,40.666666666666664,10.666666666666666,22.666666666666668,49.0,65.0,35.0,52.666666666666664,5038.0,2.8
